accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,motionAttitudeReferenceFrame,motionGravityX,motionGravityY,motionGravityZ,motionHeading,motionMagneticFieldAccuracy,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionPitch,motionQuaternionW,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionRoll,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionYaw,activity
0.080963,0.033508,-1.000992,XArbitraryZVertical,0.075345,0.033876,-0.996582,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.033882,-0.266059,0.040858,0.006300,-0.963070,0.075460,0.004932,0.008431,-0.024549,-0.005307,-0.001710,-0.009995,2.603794,0
0.103836,0.020172,-1.002350,XArbitraryZVertical,0.100837,0.020574,-0.994690,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.020576,-0.260168,0.051426,-0.003207,-0.964188,0.101030,0.010059,0.087351,0.015585,-0.000663,-0.007177,-0.006973,2.615524,0
0.162811,-0.019302,-0.993149,XArbitraryZVertical,0.128645,0.004542,-0.991680,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.004542,-0.260154,0.062821,-0.014607,-0.963411,0.129004,0.091559,0.141794,0.049439,0.009630,-0.004603,-0.001835,2.614398,0
0.209091,-0.079727,-0.968719,XArbitraryZVertical,0.196175,-0.037384,-0.979856,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.037393,-0.249484,0.090725,-0.042907,-0.963165,0.197596,0.120434,0.068769,-0.031895,0.017295,-0.001541,0.001768,2.630977,0
0.265259,-0.342026,-0.768921,XArbitraryZVertical,0.190322,-0.139228,-0.971799,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.139682,-0.262156,0.073928,-0.092926,-0.957692,0.193397,0.726817,-0.200230,-0.064263,0.023377,0.021873,-0.017398,2.593638,0
0.848724,0.486313,-1.633987,XArbitraryZVertical,0.416737,-0.204540,-0.885716,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.205994,-0.272786,0.176359,-0.161367,-0.931904,0.439778,-4.064281,2.789114,1.447418,-0.217275,-0.397495,0.341328,2.525870,0
0.617111,0.251740,-0.826492,XArbitraryZVertical,0.486500,0.400919,-0.776262,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.412520,0.064532,0.242944,0.229886,-0.940195,0.559836,0.378312,-0.397992,0.156953,-0.268619,0.127432,0.197084,-2.884382,0
0.731308,0.224991,-0.626678,XArbitraryZVertical,0.570338,0.252141,-0.781754,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.254892,0.028431,0.297969,0.142609,-0.943435,0.630291,0.014493,0.665991,0.226099,0.039999,-0.007176,-0.046889,-2.997838,0
0.775116,0.304840,-0.498703,XArbitraryZVertical,0.694908,0.287637,-0.659066,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.291758,0.074787,0.367233,0.188697,-0.907711,0.811863,-0.946233,0.290971,0.360667,0.039879,-0.056726,0.030068,-2.851054,0
0.829849,0.486496,-0.302841,XArbitraryZVertical,0.752859,0.408203,-0.516307,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.420484,0.182919,0.373429,0.319995,-0.851290,0.969667,-1.500319,-0.044722,0.520580,0.022257,-0.103363,0.017604,-2.494402,0
0.765091,0.902039,-0.208099,XArbitraryZVertical,0.789904,0.516761,-0.330165,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.543064,0.286433,0.342160,0.466737,-0.763570,1.174886,-1.525388,0.110046,-0.054364,0.038800,-0.028648,0.030284,-2.057237,0
0.531235,0.732300,-0.406235,XArbitraryZVertical,0.749961,0.631696,-0.196260,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.683739,0.268265,0.313091,0.551220,-0.725372,1.314842,0.765595,0.152665,-0.725624,0.015374,0.270007,-0.020674,-1.896949,0
0.561707,0.237305,-0.752914,XArbitraryZVertical,0.615639,0.635889,-0.465439,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.689160,0.129669,0.299190,0.421623,-0.846112,0.923450,2.387117,-0.167255,-0.723387,-0.086495,0.127355,0.035294,-2.484004,0
0.715179,0.352386,-0.675842,XArbitraryZVertical,0.565925,0.406582,-0.717231,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.418709,0.023846,0.299625,0.227177,-0.926308,0.668023,0.485205,0.244549,0.169627,0.001274,-0.162395,-0.026361,-2.942927,0
0.637070,0.294434,-0.660965,XArbitraryZVertical,0.637662,0.345697,-0.688390,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.352981,0.036461,0.339269,0.201746,-0.918077,0.747162,0.046374,0.171068,0.228366,0.076037,-0.005365,0.021383,-2.922612,0
0.696335,0.448059,-0.603424,XArbitraryZVertical,0.667231,0.356441,-0.654028,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.364456,0.059932,0.353139,0.219725,-0.907426,0.795391,-0.536065,0.121908,0.192255,-0.031413,-0.070155,0.006155,-2.855183,0
0.744858,0.409088,-0.545975,XArbitraryZVertical,0.705038,0.408257,-0.579869,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.420544,0.113054,0.364195,0.278258,-0.881563,0.882507,-0.452725,0.095620,0.224754,-0.000662,0.037788,-0.014995,-2.685570,0
0.732834,0.360931,-0.585205,XArbitraryZVertical,0.730207,0.403572,-0.551296,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.415418,0.136197,0.374138,0.290470,-0.870114,0.924112,-0.010771,-0.012999,0.112117,0.019671,0.000267,0.005672,-2.621912,0
0.759720,0.384247,-0.549576,XArbitraryZVertical,0.736844,0.371895,-0.564584,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.381050,0.132654,0.380301,0.270331,-0.874468,0.916995,-0.043358,0.028874,0.077912,0.001193,-0.016060,-0.010458,-2.650679,0
1.218750,0.416168,-0.621689,XArbitraryZVertical,0.740147,0.383164,-0.552601,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.393220,0.147548,0.377679,0.284708,-0.868637,0.929469,-0.055223,-0.033482,-0.025223,0.024242,-0.000688,0.019733,-2.606018,0
-0.537125,-0.143661,-0.670120,XArbitraryZVertical,0.557399,0.355605,-0.750235,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.363561,0.025448,0.292641,0.198100,-0.935131,0.638984,1.337771,-1.760708,-1.862588,0.547658,0.107606,0.117178,-2.965711,0
0.206558,0.228638,-0.745636,XArbitraryZVertical,0.030808,0.453155,-0.890899,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.470302,-0.129393,0.046710,0.228842,-0.963695,0.034567,0.300791,-1.877341,-0.923092,-0.578263,-0.605789,0.263153,2.882937,0
-0.159821,0.298111,-0.951675,XArbitraryZVertical,-0.111315,0.280012,-0.953521,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.283806,-0.115261,-0.039410,0.147263,-0.981568,-0.116215,0.204300,0.611676,0.545072,0.356173,0.080783,-0.084046,2.891190,0
-0.140762,0.397034,-0.902115,XArbitraryZVertical,-0.117113,0.288335,-0.950341,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.292488,-0.084982,-0.046514,0.150553,-0.983844,-0.122615,-0.455031,0.257038,-0.002136,0.019366,-0.004934,-0.008812,2.951182,0
-0.106812,0.431030,-0.895737,XArbitraryZVertical,-0.109047,0.397530,-0.911087,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.408823,-0.090720,-0.036666,0.207635,-0.973300,-0.119122,-0.427515,-0.026180,-0.082913,-0.022377,0.016655,0.014297,2.930990,0
