accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,motionAttitudeReferenceFrame,motionGravityX,motionGravityY,motionGravityZ,motionHeading,motionMagneticFieldAccuracy,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionPitch,motionQuaternionW,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionRoll,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionYaw,activity
-0.078903,-0.092667,-0.974808,XArbitraryZVertical,-0.066902,-0.084011,-0.994216,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.084110,-0.317326,0.018395,0.050532,0.946791,-0.067190,-0.107791,-0.005052,0.054697,-0.025276,-0.051395,0.037689,-2.491977,0
-0.041260,-0.035080,-0.980881,XArbitraryZVertical,-0.050304,-0.035420,-0.998106,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.035427,-0.322100,0.018112,0.024882,0.946205,-0.050357,-0.472996,0.323873,0.249849,-0.001011,-0.042400,0.023176,-2.484485,0
0.035812,0.165176,-0.991623,XArbitraryZVertical,0.024551,0.100774,-0.994606,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.100945,-0.346729,0.005990,-0.051584,0.936527,0.024679,-0.071764,0.081949,0.072783,0.010651,0.036647,-0.035743,-2.431183,0
0.029510,0.183777,-0.984360,XArbitraryZVertical,0.033484,0.182529,-0.982630,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.183558,-0.347383,0.016223,-0.091770,0.933081,0.034063,-0.064233,0.004265,0.007224,-0.005088,-0.005756,0.000758,-2.425661,0
0.028122,0.190598,-0.977020,XArbitraryZVertical,0.031018,0.185414,-0.982171,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.186493,-0.345907,0.017748,-0.092734,0.933506,0.031571,-0.035613,0.004813,-0.000280,-0.001630,-0.000325,-0.001441,-2.428919,0
0.021027,0.175018,-0.990891,XArbitraryZVertical,0.029684,0.180626,-0.983104,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.181623,-0.345127,0.017454,-0.090241,0.934045,0.030185,0.037071,0.002871,0.005720,-0.000341,0.004402,-0.004109,-2.430969,0
0.027222,0.188416,-0.977631,XArbitraryZVertical,0.032289,0.186192,-0.981983,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.187285,-0.346100,0.017308,-0.093323,0.933384,0.032869,-0.094001,0.014707,0.011172,0.001113,0.002254,-0.003125,-2.428337,0
0.036377,0.224289,-0.978897,XArbitraryZVertical,0.038003,0.217412,-0.975340,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.219163,-0.344588,0.019993,-0.109226,0.932163,0.038944,-0.065749,0.006063,0.010896,0.009498,-0.002126,-0.002565,-2.429137,0
0.034454,0.228882,-0.976837,XArbitraryZVertical,0.036900,0.214879,-0.975943,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.216568,-0.344790,0.020086,-0.107819,0.932251,0.037792,0.025049,0.006540,-0.021303,0.013912,-0.007817,0.001532,-2.428993,0
0.036209,0.198639,-0.979050,XArbitraryZVertical,0.037035,0.220444,-0.974696,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.222270,-0.344500,0.020978,-0.110507,0.932024,0.037979,-0.043361,0.016421,-0.011770,0.006971,0.002624,0.004710,-2.429252,0
0.032242,0.212402,-0.976349,XArbitraryZVertical,0.035711,0.212615,-0.976483,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.214250,-0.342680,0.020002,-0.106575,0.933173,0.036555,-0.002041,-0.002153,0.003243,0.000223,0.004793,-0.000613,-2.433797,0
0.033005,0.217865,-0.978439,XArbitraryZVertical,0.036266,0.217094,-0.975477,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.218837,-0.342493,0.020511,-0.108816,0.932972,0.037161,-0.001353,0.000634,0.002561,0.000065,-0.002525,-0.000292,-2.433858,0
0.033676,0.215408,-0.978928,XArbitraryZVertical,0.035190,0.214821,-0.976019,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.216509,-0.342552,0.020623,-0.107541,0.933096,0.036039,0.004762,0.000184,0.000241,0.001416,-0.000771,-0.004251,-2.433998,0
