accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,motionAttitudeReferenceFrame,motionGravityX,motionGravityY,motionGravityZ,motionHeading,motionMagneticFieldAccuracy,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionPitch,motionQuaternionW,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionRoll,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionYaw,activity
-0.050232,0.006912,-0.994141,XArbitraryZVertical,-0.114802,0.013700,-0.993294,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.013701,-0.371965,0.055914,0.015055,0.926439,-0.115066,-0.469241,0.037392,-0.042038,0.011332,-0.131010,0.042244,-2.378784,1
-0.034561,0.099945,-1.007889,XArbitraryZVertical,-0.028498,0.098803,-0.994699,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.098964,-0.396982,0.032756,-0.039719,0.916381,-0.028642,-0.202561,0.296453,0.092369,-0.008947,-0.029131,0.009637,-2.325410,1
0.030319,0.169907,-0.982773,XArbitraryZVertical,0.028849,0.178721,-0.983477,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.179686,-0.405427,0.023301,-0.087856,0.909597,0.029325,-0.653501,0.278330,0.008767,-0.039072,0.006597,0.064196,-2.300371,1
0.057755,0.303101,-0.948273,XArbitraryZVertical,0.042917,0.311355,-0.949324,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.316619,-0.414792,0.046528,-0.152227,0.895885,0.045178,-0.279440,0.127414,0.066042,-0.017893,-0.034683,0.002898,-2.267160,1
0.047638,0.345490,-0.932373,XArbitraryZVertical,0.050719,0.307027,-0.950348,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.312068,-0.415147,0.042053,-0.151847,0.896006,0.053318,0.399043,-0.022713,0.013283,0.009431,-0.008397,-0.004669,-2.265435,1
0.053894,0.315079,-0.936188,XArbitraryZVertical,0.045395,0.318341,-0.946889,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.323979,-0.417587,0.047438,-0.155901,0.893905,0.047905,-0.149443,-0.004808,-0.018841,-0.010758,0.045490,-0.005290,-2.259715,1
0.046677,0.275528,-0.945618,XArbitraryZVertical,0.043258,0.304750,-0.951449,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.309676,-0.413604,0.044707,-0.149253,0.897026,0.045434,0.068935,0.020400,-0.028906,-0.001983,-0.011415,-0.001584,-2.270434,1
0.028702,0.219894,-0.987076,XArbitraryZVertical,0.044729,0.291117,-0.955641,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.295394,-0.412406,0.040835,-0.143220,0.898744,0.046771,0.291466,-0.011870,0.012647,-0.004278,-0.009150,0.001433,-2.274222,1
0.037888,0.183563,-0.977036,XArbitraryZVertical,0.036284,0.176486,-0.983634,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.177415,-0.411045,0.019979,-0.088226,0.907116,0.036871,-0.166834,-0.010033,-0.039946,0.006410,-0.005206,0.000449,-2.287398,1
0.026154,0.312439,-0.944382,XArbitraryZVertical,0.032595,0.248948,-0.967968,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.251593,-0.408608,0.036718,-0.121110,0.903894,0.033661,-0.203785,-0.037429,0.041181,-0.001360,0.004821,-0.000538,-2.288216,1
