accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,motionAttitudeReferenceFrame,motionGravityX,motionGravityY,motionGravityZ,motionHeading,motionMagneticFieldAccuracy,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionPitch,motionQuaternionW,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionRoll,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionYaw,activity
0.028397,-0.326431,-0.949219,XArbitraryZVertical,0.034590,-0.324650,-0.945201,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.330642,0.842061,0.131410,0.100652,0.513356,0.036579,-0.022587,-0.042079,0.273141,0.032107,0.006184,-0.001179,1.088854,1
0.029434,-0.328064,-0.947266,XArbitraryZVertical,0.031827,-0.329615,-0.943579,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.335896,0.841738,0.134350,0.100800,0.513095,0.033717,0.013009,0.000552,0.003032,-0.000653,0.001490,-0.007364,1.089130,1
0.013260,-0.343536,-0.952026,XArbitraryZVertical,0.030511,-0.329961,-0.943501,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.336262,0.842816,0.135064,0.100035,0.511284,0.032327,-0.031765,-0.020493,-0.043832,0.002280,-0.003581,0.001103,1.085083,1
0.036240,-0.347321,-0.944672,XArbitraryZVertical,0.033310,-0.340060,-0.939814,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.346981,0.841805,0.138796,0.104062,0.511146,0.035428,0.039861,-0.018294,0.015438,-0.007248,-0.022061,0.005594,1.085187,1
0.025421,-0.345337,-0.942047,XArbitraryZVertical,0.026660,-0.344807,-0.938295,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.352033,0.841816,0.142732,0.102372,0.510385,0.028405,-0.023340,-0.012254,-0.020770,-0.001422,0.002064,0.001024,1.085012,1
0.015121,-0.375198,-0.929825,XArbitraryZVertical,0.023716,-0.351137,-0.936024,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.358785,0.841787,0.146436,0.102687,0.509319,0.025331,0.271814,-0.040910,-0.000934,-0.001118,0.017198,-0.012157,1.083648,1
0.021774,-0.353348,-0.943069,XArbitraryZVertical,0.022108,-0.355459,-0.934430,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.363405,0.841671,0.148846,0.103100,0.508728,0.023655,0.127236,-0.035566,-0.010037,0.000491,0.019689,-0.014331,1.082989,1
0.020752,-0.370361,-0.931107,XArbitraryZVertical,0.019610,-0.369693,-0.928947,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.378679,0.840966,0.156019,0.105757,0.507198,0.021107,0.104398,0.019902,0.025907,0.001523,-0.000516,0.004722,1.081366,1
0.019302,-0.391693,-0.925522,XArbitraryZVertical,0.019290,-0.385118,-0.922666,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.395335,0.838670,0.162893,0.110149,0.507902,0.020904,0.048169,-0.016759,-0.041029,-0.008701,-0.033355,0.018552,1.084873,1
0.023682,-0.353500,-0.936050,XArbitraryZVertical,0.019092,-0.382370,-0.923812,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.392360,0.841190,0.162188,0.108578,0.504286,0.020663,-0.002064,-0.015667,-0.028644,-0.002948,0.000992,-0.004990,1.075984,1
0.019684,-0.378815,-0.928482,XArbitraryZVertical,0.019719,-0.379726,-0.924889,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.389500,0.837327,0.159944,0.109424,0.511202,0.021317,0.049394,0.007974,0.012715,-0.007985,-0.017994,0.005730,1.092028,1
0.016251,-0.370758,-0.931717,XArbitraryZVertical,0.018967,-0.377951,-0.925631,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.387582,0.839360,0.159739,0.108018,0.508223,0.020488,-0.010555,-0.021552,-0.036477,0.000702,0.004233,-0.006284,1.084869,1
0.055847,-0.381027,-0.966660,XArbitraryZVertical,0.027954,-0.361014,-0.932141,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.369355,0.838747,0.149304,0.107879,0.512420,0.029980,-0.058678,0.079296,0.097489,0.011689,0.026588,-0.020007,1.091242,1
0.233200,-0.162094,-0.882401,XArbitraryZVertical,0.047732,-0.323956,-0.944867,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.329908,0.751212,0.109451,0.124847,0.638838,0.050474,-0.891162,0.212107,1.421009,0.348982,-0.007053,-0.018527,1.401059,1
