accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,motionAttitudeReferenceFrame,motionGravityX,motionGravityY,motionGravityZ,motionHeading,motionMagneticFieldAccuracy,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionPitch,motionQuaternionW,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionRoll,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionYaw,activity
0.054565,-0.076385,-0.998154,XArbitraryZVertical,0.055996,-0.073067,-0.995754,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.073132,0.950252,0.026146,0.037940,0.308056,0.056175,0.019888,-0.000710,0.001502,0.004078,-0.000618,-0.004460,0.624930,0
0.057617,-0.058517,-0.998276,XArbitraryZVertical,0.055934,-0.075424,-0.995582,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.075495,0.950174,0.027275,0.038279,0.308156,0.056123,-0.007398,-0.000396,-0.007940,0.000829,0.000411,-0.002938,0.625104,0
0.059525,-0.064392,-1.000702,XArbitraryZVertical,0.056472,-0.074966,-0.995586,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.075036,0.949823,0.026930,0.038495,0.309239,0.056662,0.001975,-0.000884,-0.018598,-0.002975,-0.009980,-0.001454,0.627376,0
0.058029,-0.070923,-1.000488,XArbitraryZVertical,0.056166,-0.076884,-0.995457,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.076960,0.949838,0.027897,0.038644,0.309089,0.056362,-0.014262,0.002440,0.002344,-0.002638,-0.006078,-0.000652,0.627038,0
0.056946,-0.068283,-0.999588,XArbitraryZVertical,0.056857,-0.069439,-0.995965,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.069495,0.950078,0.024258,0.037806,0.308762,0.057026,0.014839,0.002859,0.002144,0.000806,0.005688,-0.002555,0.626455,0
0.063477,-0.064789,-0.998260,XArbitraryZVertical,0.057458,-0.066096,-0.996158,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.066145,0.950286,0.022592,0.037561,0.308279,0.057616,-0.048415,0.005746,-0.022583,-0.005167,-0.014790,-0.000745,0.625484,0
0.050354,-0.077560,-0.998993,XArbitraryZVertical,0.057927,-0.059761,-0.996531,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.059797,0.950646,0.019534,0.036785,0.307470,0.058063,-0.033772,0.002833,-0.008753,0.002513,0.006935,-0.003225,0.623890,0
0.056335,-0.063782,-0.999237,XArbitraryZVertical,0.056834,-0.060086,-0.996574,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.060122,0.950195,0.019803,0.036344,0.308894,0.056968,-0.004003,-0.002139,-0.001446,0.001866,0.014248,-0.004647,0.626903,0
0.063431,-0.024200,-1.000061,XArbitraryZVertical,0.058433,-0.047632,-0.997154,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.047650,0.950504,0.013646,0.035166,0.308414,0.058533,-0.170940,0.024190,-0.001512,0.011284,0.009882,-0.000053,0.626118,0
0.069733,0.012054,-1.005524,XArbitraryZVertical,0.061791,-0.025513,-0.997763,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.025516,0.950086,0.002539,0.033348,0.310191,0.061851,-0.152938,0.015449,-0.020686,-0.000726,-0.002181,-0.003015,0.630363,0
0.061661,0.035339,-1.001389,XArbitraryZVertical,0.069178,0.049951,-0.996353,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.049972,0.951644,-0.034353,0.025365,0.304221,0.069320,-0.013068,-0.004832,-0.009036,-0.001917,0.011466,-0.001877,0.620558,0
0.068039,0.113068,-0.997940,XArbitraryZVertical,0.069264,0.069968,-0.995142,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.070026,0.952111,-0.043866,0.022472,0.301753,0.069491,-0.098446,0.014505,-0.030703,-0.002156,0.015328,0.002329,0.616266,0
0.071976,0.114838,-0.992966,XArbitraryZVertical,0.072420,0.105752,-0.991752,-1.000000,-1.000000,0.000000,0.000000,0.000000,-0.105950,0.952010,-0.061428,0.018726,0.299252,0.072893,0.011392,0.001705,0.003820,0.004866,0.005027,0.001716,0.612983,0
